neighbourhood,total_listings,superhost_listings,superhost_pct,avg_acceptance_rate,avg_response_rate
Presidio,4,4,100.0,98.0,97.0
Golden Gate Park,3,3,100.0,95.3,66.7
Potrero Hill,76,64,84.2,98.2,92.9
Presidio Heights,16,13,81.3,98.5,87.5
West of Twin Peaks,60,47,78.3,97.8,92.1
Castro/Upper Market,181,138,76.2,98.0,90.9
Parkside,99,75,75.8,98.2,94.6
Chinatown,88,64,72.7,99.1,98.1
Western Addition,241,168,69.7,98.4,89.8
Twin Peaks,35,24,68.6,98.0,92.4
Outer Sunset,238,161,67.6,98.6,95.5
Noe Valley,120,81,67.5,98.2,91.1
Visitacion Valley,46,31,67.4,99.0,95.2
Seacliff,6,4,66.7,99.5,100.0
Outer Richmond,150,99,66.0,98.3,97.9
Crocker Amazon,35,23,65.7,97.8,97.4
Haight Ashbury,127,83,65.4,98.1,91.2
Inner Richmond,140,91,65.0,98.1,92.6
Ocean View,68,44,64.7,98.0,90.4
Bernal Heights,155,100,64.5,97.8,92.7
Excelsior,114,73,64.0,97.8,96.0
Mission,295,183,62.0,97.1,91.4
Outer Mission,100,60,60.0,98.5,94.9
Inner Sunset,92,54,58.7,98.0,94.9
Glen Park,26,15,57.7,98.8,88.5
Pacific Heights,92,53,57.6,98.5,98.6
Lakeshore,41,21,51.2,98.1,95.1
Bayview,108,55,50.9,97.3,98.8
Russian Hill,68,33,48.5,98.4,96.7
South of Market,273,131,48.0,98.2,91.4
Marina,163,78,47.9,98.0,99.1
Financial District,110,51,46.4,98.1,97.0
Nob Hill,200,78,39.0,98.8,96.6
Downtown/Civic Center,392,125,31.9,97.5,94.8
North Beach,109,32,29.4,98.6,98.7
Diamond Heights,7,2,28.6,97.9,94.3
