listing_id,listing_name,host_id,host_name
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly
5858,Creative Sanctuary,8904,Philip Jonathon
8142,*FriendlyRoom Apt. Style -UCSF/USF - San Francisco,21994,Aaron
8339,Historic Alamo Square Victorian,24215,Rosmarie
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Teresa
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew
11490,Cozy Nob Hill Nook,42681,Rachael
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,Aaron
12522,Perfectly located Castro,18431,Brenda
18231,Loft-like Apt./Garden,70224,Arlene
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick
21334,Studio loft on top of Russian Hill,81455,Joseph Douglas
24111,Charming 2 Bd Rm Ocean View,96951,Jason
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",99128,Cathryn
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",100800,Cynthia
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce
26488,Embarcadero High Rise with Views!,112300,Micheal
29557,gigi's bed and breakfast,126036,Gigi
32414,"Cozy, Sunny and Private Space",140251,Lisa
33578,Potrero Hill Garden Lookout,145258,Kepa
38935,Sunny Room with Private Bathroom – The Mission,167046,Nani
39418,"Comfortable Home Base, Bernal Heights, great area!",169184,Theresa
40092,Cute Private Apt in the hip Mission,172182,Brian Del Bove
41423,Guest Cottage - SF,180715,Carrie
41609,Spacious Quiet SF Downtown Work-From-Home Retreat,54299,Peter
42060,Duboce park Edwardian apartment.,183862,Cole
44032,The Mission-100% Private,98733,David
45299,Private Castro Studio with king sized bed,178043,Charles
46060,The Urban Oasis IV,128327,Evelyn
47486,Beautiful Historical Location. EZ  parking.,215133,Richard
47682,One-bedroom apt.  Lafayette Park,216682,Jay
51557,Centrally Located Victorian Apartment,237200,Len
51773,Prime Location - Very Small Cozy Room,216682,Jay
54518,Classic Downtown San Francisco,255971,Katherine
54634,Studio Apartment Lafayette Park,216682,Jay
55632,"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",262875,Paul
55636,"❤️ Super luxury Apt, Great View,  5 Star Reviews",262875,Paul
57561,"Bernal Heights Apartment, Patio + Parking",272890,Theodore
57676,"Bartlett Gardens: Spacious, bright!",142882,Jessica And Sebouh
59831,Lovely quiet private room in Home,287859,Lawrence
60101,5BD Bernal Heights Urban Getaway Near 101/280,289376,Jennifer
60365,"Charming Victorian 3-Bdrms-2Ba, Parking, Location!",279544,Emilie
63247,Lovely art suite with yard,290120,Anne
64165,Great room in a fantastic location!,237691,Regina
68239,Beautiful 1bdr apt by Dolores Park in Mission,337833,Philipp
69410,Private 1BR Inner Richmond Apartment,347624,Patrick
70139,Noe Valley Studio + Home Office,354456,Rachel
70753,Single Bed In 8 Bed Dorm - Downtown @ ITH Hostels,329072,James & Friends
71645,"Northslope Studio in Bernal Heights with a Zen, Leafy Patio",367464,Jeffrey
72444,Single Bed In 8 Bed Quiet Dorm @ ITH Hostels,329072,James & Friends
77175,Private Studio with Kitchenette,395569,Tyler
78651,Heart of the Mission: Hot spot,142882,Jessica And Sebouh
80394,Hideaway in the Haight,126930,Abla
81158,Sweet 1 br Garden Apartment -  Lewhit Cottage,439589,Brent
83257,Charming Lower Pac Hts Private Room,453743,Kimberly
91957,Sunny SF Flat with 5*s,495796,Joy
96383,Prime Location Bright Private Room,216682,Jay
99094,Spacious Edwardian Flat SF Mission,522225,Marzio
105497,Private Room in San Francisco!,547669,Jamie
109883,San Francisco Serenity private/ lovely home,566147,Adam
121065,Victorian 1BR/1BA in Castro/Duboce,608445,Hassan
124011,Golden Gate Park/UCSF Family High-Tech Victorian,617985,Patrick
130775,Emergency happy room-sink  UCSF/USF-San Francisco,21994,Aaron
132441,"Calm & Cool, Safe & Sunny on Bernal Hill",650862,Kurt
137129,San Francisco Luxury Rental,639671,Mark
138221,Lone Mountain Pied A Terre,674976,Phil
138592,Modern Architectural Gem - 4 Bdrm,648553,Julie
144978,Prime Location - Small Basic Room,216682,Jay
147443,Best Views in all of San Francisco,709325,Mark
148627,Marina Studio w/ Private Entrance + Full Kitchen,709325,Mark
148769,Ground Floor Studio with Garage Parking,709325,Mark
150347,Cute Private 2Br Apt in the Mission with Parking!,172182,Brian Del Bove
166771,DOWNEY STREET - Victorian Flat,794467,Patricia Ann
175090,Financial Dist. Near Union Square/North Beach,127367,Michelle
175102,Financial District: Rooftop deck.Near dining/shops,127367,Michelle
183859,"Family-Friendly Flat In San Francisco, CA. USA",882283,Stephen
193292,Nice Rooms With Private 1/2 Bath,937281,Lauren&Sarah
199480,One room overlooking Precita Park,974441,Peter
208714,Cozy fully furnished one bedroom apartment in SF,1027819,Ac
208831,Suite in Heart of North Beach.,1028577,Peter
209514,Haight Ashbury Experience Room 2,1032643,Joshua Martin
212783,Haight Ashbury Experience Room 1,1032643,Joshua Martin
213532,Haight Ashbury Experience Room 4,1032643,Joshua Martin
218006,ASHA BAY Little private Room,812808,Mukt
220418,Haight Ashbury Experience Room 3,1032643,Joshua Martin
231129,Nob Hill Mini Mansion,1208533,Antonio
232060,Forest Garden Suite Near UCSF,1214006,Arturo
238204,Spacious Getaway Near the Ocean,1248132,Maria Gee Tan
256176,Private entrance bd/bath by GG Park,976125,Eva
269463,Elegant Victorian Flat in Haight,1244308,Lawrence
269756,Twin Peaks Home Available for 3+ Month Stays,1409731,Daniel
271647,"Private Room w/ 2 Queen Beds, Steps to Ocean Beach",1421509,Matthew
273530,"Sunny Potrero Townhouse ""Nest""",99128,Cathryn
274334,Clean Suite with private bath near Ocean Beach,1434669,Lisa
279184,Stay in a historic apt in the heart of the Mission,1456262,Justin
308885,North Beach Best Location and View,1588855,Arbe
314248,Pacific Heights 3 bedroom home with garage,1614566,Sarah
314368,2BR North Beach - Perfect for Business or Leisure,1229762,Jason
325478,Spacious & artsy 2br Dolores Park flat,1579337,Markus
326650,Lovely beautiful Apt Pac Fillmore,1670339,Michele
329020,The Clock Tower Loft circa 1907.,326840,Jorge
330535,Victorian Flat amongst the Trees.,625762,Ryan Marshall
338849,Best area Bright LARGE Beautiful,1670339,Michele
348714,Elegant Queen Ann Victorian Studio,78610,George
350479,"Sunny, garden view bedroom",1776403,Natallia
352165,In Law Suite in Castro Victorian,1783772,Brian
