listing_id,neighbourhood
958,Western Addition
5858,Bernal Heights
8142,Haight Ashbury
8339,Western Addition
10537,Bayview
10578,Nob Hill
11490,Nob Hill
12041,Haight Ashbury
12042,Haight Ashbury
12522,Castro/Upper Market
18231,Noe Valley
18904,Western Addition
21334,Nob Hill
24111,Parkside
24463,Potrero Hill
24723,Pacific Heights
25094,Glen Park
26488,Financial District
29557,Outer Richmond
32414,Bernal Heights
33578,Potrero Hill
38935,Mission
39418,Bernal Heights
40092,Mission
41423,Glen Park
41609,Downtown/Civic Center
42060,Western Addition
44032,Mission
45299,Castro/Upper Market
46060,Castro/Upper Market
47486,Ocean View
47682,Pacific Heights
51557,Western Addition
51773,Pacific Heights
54518,Financial District
54634,Pacific Heights
55632,Outer Richmond
55636,Twin Peaks
57561,Bernal Heights
57676,Mission
59831,Outer Sunset
60101,Bernal Heights
60365,Western Addition
63247,Mission
64165,Marina
68239,Mission
69410,Inner Richmond
70139,Bernal Heights
70753,Financial District
71645,Bernal Heights
72444,Financial District
77175,Glen Park
78651,Mission
80394,Haight Ashbury
81158,Western Addition
83257,Western Addition
91957,Haight Ashbury
96383,Pacific Heights
99094,Mission
105497,Outer Sunset
109883,West of Twin Peaks
121065,Western Addition
124011,Inner Sunset
130775,Haight Ashbury
132441,Bernal Heights
137129,Inner Richmond
138221,Inner Richmond
138592,Noe Valley
144978,Pacific Heights
147443,Diamond Heights
148627,Marina
148769,Twin Peaks
150347,Mission
166771,Haight Ashbury
175090,Financial District
175102,Chinatown
183859,Glen Park
193292,Noe Valley
199480,Bernal Heights
208714,Downtown/Civic Center
208831,Russian Hill
209514,Haight Ashbury
212783,Haight Ashbury
213532,Haight Ashbury
218006,Excelsior
220418,Haight Ashbury
231129,Nob Hill
232060,Inner Sunset
238204,Parkside
256176,Inner Richmond
269463,Haight Ashbury
269756,Twin Peaks
271647,Outer Sunset
273530,Potrero Hill
274334,Outer Sunset
279184,Mission
308885,Financial District
314248,Pacific Heights
314368,North Beach
325478,Mission
326650,Western Addition
329020,South of Market
330535,Haight Ashbury
338849,Western Addition
348714,Haight Ashbury
350479,Mission
352165,Castro/Upper Market
353292,Western Addition
371595,Presidio Heights
379349,Haight Ashbury
394575,Bernal Heights
410762,Inner Richmond
415498,Pacific Heights
423300,Mission
424846,Inner Richmond
431862,Downtown/Civic Center
437385,Outer Richmond
438940,Castro/Upper Market
438967,Castro/Upper Market
442349,Western Addition
442397,Outer Sunset
455783,Outer Sunset
465723,Parkside
467507,Bernal Heights
468490,Russian Hill
474107,Excelsior
479049,Castro/Upper Market
487019,Potrero Hill
487499,Mission
493889,Outer Mission
494111,Outer Richmond
504146,Marina
519796,Russian Hill
522273,Bayview
531151,Bernal Heights
537133,Castro/Upper Market
545685,Outer Richmond
555596,Noe Valley
561148,Inner Richmond
561602,Bernal Heights
568161,Outer Mission
571042,Haight Ashbury
571142,Inner Sunset
578097,Western Addition
585326,Outer Richmond
589767,Russian Hill
591431,Mission
592883,Mission
593253,Western Addition
602535,Noe Valley
604221,Downtown/Civic Center
607500,Haight Ashbury
626349,South of Market
632303,Glen Park
633629,Outer Mission
642672,Bernal Heights
646275,Bernal Heights
648086,Bernal Heights
654279,Bayview
663623,Mission
664307,Mission
664315,Mission
671513,Inner Sunset
678556,Haight Ashbury
690872,Pacific Heights
691023,Castro/Upper Market
715543,Mission
719431,West of Twin Peaks
720811,Inner Richmond
727866,Parkside
727969,Noe Valley
728585,Noe Valley
728884,Noe Valley
734801,Pacific Heights
734839,North Beach
738547,Russian Hill
745957,Financial District
747167,Chinatown
752607,Mission
754117,Haight Ashbury
767506,West of Twin Peaks
769734,Mission
774323,Mission
781945,Financial District
783821,Castro/Upper Market
795254,Western Addition
806199,South of Market
810315,Marina
815183,Outer Mission
818395,Western Addition
819863,Inner Sunset
829185,Mission
830576,Pacific Heights
837045,Western Addition
838660,Chinatown
856123,Mission
859336,Castro/Upper Market
867499,Western Addition
878935,Inner Sunset
884770,Russian Hill
890875,Western Addition
895381,Downtown/Civic Center
900393,Potrero Hill
900941,Castro/Upper Market
905399,Mission
918341,Potrero Hill
931313,Mission
934012,Inner Richmond
943851,Mission
945748,Presidio Heights
950094,Bayview
961900,South of Market
968037,North Beach
980783,Potrero Hill
982298,Outer Sunset
997382,Haight Ashbury
998701,Outer Sunset
1001759,Castro/Upper Market
1005642,Mission
1016604,Inner Richmond
1018426,South of Market
1036860,Russian Hill
1037251,Bernal Heights
1038324,Mission
1053666,Mission
1059961,South of Market
1067031,Outer Mission
1074231,Haight Ashbury
1084068,South of Market
1087427,Outer Sunset
1087433,Outer Sunset
1094764,Inner Richmond
1098003,Western Addition
1103797,Western Addition
1104912,Outer Richmond
1121697,Western Addition
1126365,Western Addition
1138542,Bernal Heights
1141986,South of Market
1148370,Parkside
1151237,Castro/Upper Market
1159284,North Beach
1163946,Mission
1174701,Downtown/Civic Center
1178260,North Beach
1195173,Nob Hill
1195374,Castro/Upper Market
1198464,West of Twin Peaks
1200068,Outer Mission
1201159,South of Market
1202686,Mission
1209738,Golden Gate Park
1212513,Castro/Upper Market
1212746,Castro/Upper Market
1212822,Marina
1223704,South of Market
1225969,Potrero Hill
1229606,South of Market
1237143,Russian Hill
1245838,Bernal Heights
1267206,Glen Park
1276953,Western Addition
1277771,Inner Richmond
1291092,Marina
1292217,Western Addition
1299759,Western Addition
1309496,Western Addition
1323983,Castro/Upper Market
1328186,Castro/Upper Market
1336998,Western Addition
1344243,Inner Richmond
1351626,Outer Mission
1351783,Outer Sunset
1352111,Pacific Heights
1388523,Mission
1392204,West of Twin Peaks
1407881,Castro/Upper Market
1408932,Bernal Heights
1409218,South of Market
1421671,Mission
1421774,Castro/Upper Market
1421937,West of Twin Peaks
1428465,Noe Valley
1428553,Castro/Upper Market
1433011,Russian Hill
1433917,Castro/Upper Market
1434314,Noe Valley
1434425,Castro/Upper Market
1439445,Inner Richmond
1442027,Downtown/Civic Center
1450899,Castro/Upper Market
1456153,Bernal Heights
1460174,Western Addition
1460628,Inner Richmond
1467522,Western Addition
1470340,Crocker Amazon
1471683,Western Addition
1480015,Haight Ashbury
1482730,Bernal Heights
1484149,Nob Hill
1484792,Western Addition
1487849,Bernal Heights
1494503,Haight Ashbury
1506702,Marina
1510363,Outer Mission
1520929,Potrero Hill
1525137,Pacific Heights
1535946,Castro/Upper Market
1537497,South of Market
1547477,Western Addition
1574848,North Beach
1575184,Outer Mission
1578597,Potrero Hill
1584021,Mission
1589228,Noe Valley
1605483,Haight Ashbury
1606292,Western Addition
1614622,Western Addition
1623609,Mission
1629330,South of Market
1633173,Excelsior
1633225,Excelsior
1633933,Haight Ashbury
1637487,Castro/Upper Market
1641060,West of Twin Peaks
1645724,Ocean View
1665516,Outer Richmond
1672055,Twin Peaks
1673011,Castro/Upper Market
1673777,Western Addition
1687330,Inner Richmond
1725833,South of Market
1725853,Outer Sunset
1728497,Western Addition
1738415,Western Addition
1750809,Nob Hill
1752371,Bernal Heights
1752552,Outer Sunset
1759087,Potrero Hill
1762727,Castro/Upper Market
1764449,Western Addition
1769688,Western Addition
1774026,Castro/Upper Market
1785463,West of Twin Peaks
1807493,South of Market
1814061,Noe Valley
1827638,Mission
1830541,Inner Richmond
1841832,Nob Hill
1851403,Marina
1855096,Potrero Hill
1864390,Western Addition
1868880,Pacific Heights
1887206,Bayview
1892360,North Beach
1892956,Mission
1898486,Noe Valley
1907229,Western Addition
1914841,Western Addition
1925206,Excelsior
1928125,Mission
1931763,Mission
1956312,Castro/Upper Market
1970257,Mission
1970756,Bernal Heights
1979461,South of Market
1985338,Bernal Heights
2001534,Bernal Heights
2023326,Inner Richmond
2026910,Haight Ashbury
2042095,Outer Mission
2046807,Mission
2049955,Inner Richmond
2058119,Mission
2062696,Mission
2077982,Western Addition
2105840,Castro/Upper Market
2111361,Downtown/Civic Center
2115503,Outer Richmond
2123469,Golden Gate Park
2124182,Potrero Hill
2130640,Western Addition
2134475,Presidio
2135871,Excelsior
2139562,West of Twin Peaks
2166428,Haight Ashbury
2175930,Bernal Heights
2178509,Bernal Heights
2182851,Mission
2188919,Mission
2188976,Mission
2198399,Mission
2203283,Inner Richmond
2209751,Western Addition
2221057,Outer Sunset
2234256,Bayview
2236226,North Beach
2244652,North Beach
2257205,Pacific Heights
2279254,Downtown/Civic Center
2298930,Marina
2299196,Western Addition
2310765,South of Market
2314849,Presidio
2315086,Western Addition
2340335,Downtown/Civic Center
2366182,Nob Hill
2371394,Western Addition
2371573,Pacific Heights
2374361,Glen Park
2404647,Noe Valley
2412158,Noe Valley
2432104,Ocean View
2460904,South of Market
2468125,Downtown/Civic Center
2478558,Downtown/Civic Center
2483759,Western Addition
2486953,Noe Valley
2518781,Bernal Heights
2538807,West of Twin Peaks
2558763,Marina
2559297,Western Addition
2562034,Ocean View
2564006,Nob Hill
2578122,Castro/Upper Market
2592518,South of Market
2620371,Pacific Heights
